Name,log(MBh/Msol),E_log(MBh/Msol)_upper,E_log(MBh/Msol)_lower,psi_deg,E_psi_upper,E_psi_lower,ref
IC0472,8.361,0.176,0.301,5,15,5,"2,4"
IC0503,7.872,0.176,0.301,25,15,15,"2,4"
IC0563,8.088,0.176,0.301,35,5,15,"2,4"
IC0653,8.378,0.176,0.301,15,15,15,"2,4"
IC0724,8.649,0.176,0.301,15,15,5,"2,4"
IC0853,8.427,0.176,0.301,15,15,15,"2,4"
IC0871,8.331,0.176,0.301,5,25,5,"2,4"
IC0903,7.764,0.176,0.301,15,15,15,"2,4"
IC0959,8.51,0.176,0.301,15,5,15,"2,4"
IC1017,8.088,0.176,0.301,5,25,5,"2,4"
IC1049,8.172,0.176,0.301,15,15,15,"2,4"
IC1067,7.312,0.176,0.301,25,5,15,"2,4"
IC1067,7.312,0.176,0.301,19.57,2.13,2.13,"2,3"
IC1256,7.929,0.176,0.301,25,15,15,"2,4"
IC1447,7.697,0.176,0.301,17.18,11.11,11.11,"2,3"
IC1515,8.331,0.176,0.301,25,15,5,"2,4"
IC1738,7.062,0.176,0.301,15,15,5,"2,4"
IC1856,8.275,0.176,0.301,15,15,15,"2,4"
IC2204,7.934,0.176,0.301,5,15,5,"2,4"
IC3392,7.605,0.176,0.301,5,15,5,"2,4"
IC3754,8.288,0.176,0.301,5,15,5,"2,4"
IC4229,8.209,0.176,0.301,25,15,5,"2,4"
IC4566,8.316,0.176,0.301,15,15,15,"2,4"
KUG0319-072,7.603,0.176,0.301,25,15,15,"2,4"
MCG-02-02-030,7.977,0.176,0.301,25,15,15,"2,4"
MCG-02-03-015,8.306,0.176,0.301,25,15,25,"2,4"
MESSIER058,8.624,0.176,0.301,15,15,15,"2,4"
MESSIER065,8.243,0.176,0.301,5,15,5,"2,4"
MESSIER081,8.071,0.176,0.301,25,15,15,"2,4"
MESSIER088,9.065,0.176,0.301,15,15,15,"2,4"
MESSIER090,6.965,0.176,0.301,5,15,5,"2,4"
MESSIER091,8.047,0.176,0.301,25,15,15,"2,4"
Mrk0590,7.55,0.18,0.18,5,15,5,"1,4"
NGC0078A,7.984,0.176,0.301,15,15,15,"2,4"
NGC0192,8.389,0.176,0.301,25,15,15,"2,4"
NGC0195,8.092,0.176,0.301,25,15,15,"2,4"
NGC0217,8.573,0.176,0.301,15,15,15,"2,4"
NGC0291,8.132,0.176,0.301,25,15,15,"2,4"
NGC0428,4.48,0.37,0.37,28.79,10.16,10.16,"1,3"
NGC0570,8.381,0.176,0.301,15,15,15,"2,4"
NGC0613,7.6,0.35,0.35,27.41,11.33,11.33,"1,3"
NGC0624,8.206,0.176,0.301,15,15,15,"2,4"
NGC0658,7.906,0.176,0.301,25.2,12.74,12.74,"2,3"
NGC0716,8.303,0.176,0.301,25,15,15,"2,4"
NGC0747,8.104,0.176,0.301,25,15,15,"2,4"
NGC0772,8.763,0.176,0.301,23.88,10.75,10.75,"2,3"
NGC0799,8.338,0.176,0.301,15,15,5,"2,4"
NGC0820,8.244,0.176,0.301,15,15,15,"2,4"
NGC0856,8.277,0.176,0.301,15,15,15,"2,4"
NGC0986,8.334,0.176,0.301,29.39,5.81,5.81,"2,3"
NGC1042,4.4,2.08,2.08,13.23,0.55,0.55,"1,3"
NGC1094,8.418,0.176,0.301,15,15,15,"2,4"
NGC1104,8.302,0.176,0.301,15,15,15,"2,4"
NGC1285,8.234,0.176,0.301,25,15,15,"2,4"
NGC1299,7.549,0.176,0.301,27.63,3.02,3.02,"2,3"
NGC1300,7.88,0.34,0.34,21.51,5.39,5.39,"1,3"
NGC1338,7.638,0.176,0.301,25.96,7.6,7.6,"2,3"
NGC1346,8.156,0.176,0.301,15,15,15,"2,4"
NGC1365,8.504,0.176,0.301,23.02,4.29,4.29,"2,3"
NGC1493,5.4,0.51,0.51,21.06,4.28,4.28,"1,3"
NGC2410,8.358,0.176,0.301,15,15,15,"2,4"
NGC2449,8.304,0.176,0.301,15,15,15,"2,4"
NGC2460,8.374,0.176,0.301,11.16,2.13,2.13,"2,3"
NGC2485,8.392,0.176,0.301,15,15,15,"2,4"
NGC2528,7.923,0.176,0.301,5,15,5,"2,4"
NGC2538,8.208,0.176,0.301,25,5,15,"2,4"
NGC2543,7.869,0.176,0.301,15,15,5,"2,4"
